service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
i-tr1032_46,20261019,20261025,1,1,1,1,1,1,1
i-tr1032_47,20261026,20261101,1,1,1,1,1,1,1
i-tr1032_48,20261102,20261108,1,1,1,1,1,1,1
i-tr1032_49,20261109,20261115,1,1,1,1,1,1,1
i-tr1032_5,20260105,20260111,1,1,1,1,1,1,1
i-tr1032_50,20261116,20261122,1,1,1,1,1,1,1
i-tr1032_51,20261123,20261129,1,1,1,1,1,1,1
i-tr1032_52,20261130,20261206,1,1,1,1,1,1,1
i-tr1032_53,20261207,20261213,1,1,1,1,1,1,0
i-tr1032_6,20260112,20260118,1,1,1,1,1,1,1
i-tr1032_7,20260119,20260125,1,1,1,1,1,1,1
i-tr1032_8,20260126,20260201,1,1,1,1,1,1,1
i-tr1032_9,20260202,20260208,1,1,1,1,1,1,1
i-tr1033_1,20251208,20251214,0,0,0,0,0,0,1
i-tr1033_10,20260209,20260215,1,1,1,1,1,1,1
i-tr1033_11,20260216,20260222,1,1,1,1,1,1,1
i-tr1033_12,20260223,20260301,1,1,1,1,1,1,1
i-tr1033_13,20260302,20260308,1,1,1,1,1,1,1
i-tr1033_14,20260309,20260315,1,1,1,1,1,1,1
i-tr1033_15,20260316,20260322,1,1,1,1,1,1,1
i-tr1033_16,20260323,20260329,1,1,1,1,1,1,1
i-tr1033_17,20260330,20260405,1,1,1,1,1,1,1
i-tr1033_18,20260406,20260412,1,1,1,1,1,1,1
i-tr1033_19,20260413,20260419,1,1,1,1,1,1,1
i-tr1033_2,20251215,20251221,1,1,1,1,1,1,1
i-tr1033_20,20260420,20260426,1,1,1,1,1,1,1
i-tr1033_21,20260427,20260503,1,1,1,1,1,1,1
i-tr1033_22,20260504,20260510,1,1,1,1,1,1,1
i-tr1033_23,20260511,20260517,1,1,1,1,1,1,1
i-tr1033_24,20260518,20260524,1,1,1,1,1,1,1
i-tr1033_25,20260525,20260531,1,1,1,1,1,1,1
i-tr1033_26,20260601,20260607,1,1,1,1,1,1,1
i-tr1033_27,20260608,20260614,1,1,1,1,1,1,1
i-tr1033_28,20260615,20260621,1,1,1,1,1,1,1
i-tr1033_29,20260622,20260628,1,1,1,1,1,1,1
i-tr1033_3,20251222,20251228,1,1,1,1,1,1,1
i-tr1033_30,20260629,20260705,1,1,1,1,1,1,1
